Date,Adj Close
2018-12-10,5.93
2018-12-11,5.94
2018-12-12,6.04
2018-12-13,6.07
2018-12-14,5.97
2018-12-17,5.82
2018-12-18,5.91
2018-12-19,5.98
2018-12-20,5.98
2018-12-21,5.79
2018-12-24,5.61
2018-12-26,5.9
2018-12-27,5.85
2018-12-28,5.84
2018-12-31,5.82
2019-01-02,6.02
2019-01-03,6.01
2019-01-04,6.21
2019-01-07,6.32
2019-01-08,6.29
2019-01-09,6.26
2019-01-10,6.28
2019-01-11,6.37
2019-01-14,6.23
2019-01-15,6.11
2019-01-16,6.05
2019-01-17,6.01
2019-01-18,6.07
2019-01-22,6.04
2019-01-23,6.17
2019-01-24,6.25
2019-01-25,6.18
2019-01-28,6.04
2019-01-29,6.03
2019-01-30,6.04
2019-01-31,6.24
2019-02-01,6.22
2019-02-04,6.24
2019-02-05,5.87
2019-02-06,5.84
2019-02-07,5.9
2019-02-08,5.9
2019-02-11,5.95
2019-02-12,6.14
2019-02-13,6.13
2019-02-14,6.18
2019-02-15,6.3
2019-02-19,6.33
2019-02-20,6.31
2019-02-21,6.48
2019-02-22,6.44
2019-02-25,6.44
2019-02-26,6.34
2019-02-27,6.35
2019-02-28,6.35
2019-03-01,6.4
